_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
1,2005,Alameda,1,Diabetes Short-term Complications,538,1102068,48.8,47.3,,,,,,
2,2006,Alameda,1,Diabetes Short-term Complications,479,1106823,43.3,42,,,,,,
3,2007,Alameda,1,Diabetes Short-term Complications,475,1117973,42.5,41.3,,,,,,
4,2008,Alameda,1,Diabetes Short-term Complications,531,1136417,46.7,45.5,,,,,,
5,2009,Alameda,1,Diabetes Short-term Complications,586,1155287,50.7,49.4,,,,,,
6,2010,Alameda,1,Diabetes Short-term Complications,614,1169910,52.5,51.3,,,,,,
7,2011,Alameda,1,Diabetes Short-term Complications,607,1186810,51.1,50.1,,,,,,
8,2012,Alameda,1,Diabetes Short-term Complications,598,1173980,50.9,50.9,,,,,,
9,2013,Alameda,1,Diabetes Short-term Complications,612,1197759,51.1,51.2,,,,,,
10,2014,Alameda,1,Diabetes Short-term Complications,601,1192027,50.4,50.2,,,,,,
11,2015,Alameda,1,Diabetes Short-term Complications,454,923607,49.2,49.9,,,,,,
12,2016,Alameda,1,Diabetes Short-term Complications,,,,,442,"1,304,840",33.9,40.4,,
13,2017,Alameda,1,Diabetes Short-term Complications,,,,,447,"1,314,687",34,40.7,,
14,2018,Alameda,1,Diabetes Short-term Complications,,,,,644,"1,323,933",48.6,58.4,,
15,2019,Alameda,1,Diabetes Short-term Complications,,,,,623,"1,329,186",46.9,56.4,,
16,2020,Alameda,1,Diabetes Short-term Complications,,,,,624,"1,337,122",46.7,56.2,,
17,2021,Alameda,1,Diabetes Short-term Complications,,,,,653,"1,316,671",49.6,60,,
18,2005,Alameda,2,Perforated Appendix,273,1080,25.3,27.6,,,,,,
19,2006,Alameda,2,Perforated Appendix,318,1224,26,27.6,,,,,,
20,2007,Alameda,2,Perforated Appendix,264,1207,21.9,23,,,,,,
21,2008,Alameda,2,Perforated Appendix,241,1105,21.8,23,,,,,,
22,2009,Alameda,2,Perforated Appendix,259,1102,23.5,24.6,,,,,,
23,2010,Alameda,2,Perforated Appendix,294,1144,25.7,26.6,,,,,,
24,2011,Alameda,2,Perforated Appendix,322,1177,27.4,28.4,,,,,,
25,2012,Alameda,2,Perforated Appendix,297,1129,26.3,27.1,,,,,,
26,2013,Alameda,2,Perforated Appendix,307,1043,29.4,30.3,,,,,,
27,2014,Alameda,2,Perforated Appendix,282,873,32.3,33.2,,,,,,
28,2015,Alameda,2,Perforated Appendix,205,597,34.3,34.2,,,,,,
29,2005,Alameda,3,Diabetes Long-term Complications,1220,1102068,110.7,123.3,,,,,,
30,2006,Alameda,3,Diabetes Long-term Complications,1188,1106823,107.3,118.8,,,,,,
31,2007,Alameda,3,Diabetes Long-term Complications,1126,1117973,100.7,110.8,,,,,,
32,2008,Alameda,3,Diabetes Long-term Complications,1162,1136417,102.3,112,,,,,,
33,2009,Alameda,3,Diabetes Long-term Complications,1079,1155287,93.4,101.6,,,,,,
34,2010,Alameda,3,Diabetes Long-term Complications,1146,1169910,98,105.7,,,,,,
35,2011,Alameda,3,Diabetes Long-term Complications,1091,1186810,91.9,98.4,,,,,,
36,2012,Alameda,3,Diabetes Long-term Complications,1104,1173980,94,97.5,,,,,,
37,2013,Alameda,3,Diabetes Long-term Complications,990,1197759,82.7,85.2,,,,,,
38,2014,Alameda,3,Diabetes Long-term Complications,968,1192027,81.2,84.1,,,,,,
39,2015,Alameda,3,Diabetes Long-term Complications,687,923607,74.4,75.1,,,,,,
40,2016,Alameda,3,Diabetes Long-term Complications,,,,,697,"1,304,840",53.4,71.9,,
41,2017,Alameda,3,Diabetes Long-term Complications,,,,,909,"1,314,687",69.1,92.5,,
42,2018,Alameda,3,Diabetes Long-term Complications,,,,,793,"1,323,933",59.9,79.6,,
43,2019,Alameda,3,Diabetes Long-term Complications,,,,,782,"1,329,186",58.8,77.8,,
44,2020,Alameda,3,Diabetes Long-term Complications,,,,,703,"1,337,122",52.6,68.7,,
45,2021,Alameda,3,Diabetes Long-term Complications,,,,,748,"1,316,671",56.8,73.2,,
46,2005,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2436,623323,390.8,430.6,,,,,,
47,2006,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2304,629884,365.8,402.1,,,,,,
48,2007,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2430,638922,380.3,415.2,,,,,,
49,2008,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2694,650883,413.9,449.8,,,,,,
50,2009,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2534,665072,381,411.9,,,,,,
51,2010,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2703,679206,398,428.1,,,,,,
52,2011,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2487,693793,358.5,383,,,,,,
53,2012,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2239,709160,315.7,335.6,,,,,,
54,2013,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2008,723575,277.5,292.4,,,,,,
55,2014,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2019,721792,279.7,296.5,,,,,,
56,2015,Alameda,5,COPD or Asthma in Older Adults (Age 40+),1500,567077,264.5,275,,,,,,
57,2016,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,"1,746","759,150",230,297.8,,
58,2017,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,"1,834","766,219",239.4,307,,
59,2018,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,"1,452","773,434",187.7,238.5,,
60,2019,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,"1,446","777,973",185.9,233.9,,
